Title,genres,director,actors
half brothers,"['Comedy', 'Drama']",['Luke Greenfield '],"['Luis Gerardo Méndez', 'Connor Del Rio']"
wander,"['Thriller', 'Crime', 'Mystery']",['April Mullen '],"['Aaron Eckhart', 'Katheryn Winnick', 'Heather Graham']"
black bear,"['Drama', 'Thriller']",['Lawrence Michael Levine '],"['Aubrey Plaza', 'Christopher Abbott', 'Sarah Gadon']"
let them all talk,"['Comedy', 'Drama']",['Steven Soderbergh '],"['Meryl Streep', 'Candice Bergen', 'Gemma Chan']"
the midnight sky,"['Science Fiction', 'Drama']",['George Clooney '],"['George Clooney', 'Felicity Jones', 'David Oyelowo']"
songbird,"['Science Fiction', 'Thriller']",['Adam Mason '],"['KJ Apa', 'Sofia Carson', 'Craig Robinson']"
wild mountain thyme,"['Romance', 'Drama']",['John Patrick Shanley '],"['Emily Blunt', 'Jamie Dornan', 'Jon Hamm']"
safety,"['Family', 'Drama', 'History']",['Reginald Hudlin '],"['Jay Reeves', 'Thaddeus J. Mixson', 'Corinne Foxx']"
wander darkly,"['Romance', 'Drama']",['Tara Miele '],"['Sienna Miller', 'Diego Luna', 'Beth Grant']"
i'm your woman,"['Crime', 'Drama']",['Julia Hart '],"['Rachel Brosnahan', 'Arinzé Kene', 'Marsha Stephanie Blake']"
the stand in,['Comedy'],['Jamie Babbit '],"['Drew Barrymore', 'Michael Zegen', 'T.J. Miller']"
archenemy,"['Action', 'Thriller', 'Crime', 'Science Fiction']",['Adam Egypt Mortimer '],"['Joe Manganiello', 'Skylan Brooks', 'Zolee Griggs']"
farewell amor,"['Romance', 'Drama']",['Ekwa Msangi '],"['Ntare Mwine', 'Zainab Jah', 'Jayme Lawson']"
monster hunter,"['Action', 'Fantasy', 'Adventure']",[' Anderson '],"['Milla Jovovich', 'Tony Jaa', 'Tip ""T.I."" Harris']"
greenland,"['Action', 'Thriller', 'Drama']",['Ric Roman Waugh '],"['Gerard Butler', 'Morena Baccarin', 'David Denman']"
fatale,"['Drama', 'Thriller']",['Deon Taylor '],"['Hilary Swank', 'Michael Ealy', 'Mike Colter']"
skylines,"['Science Fiction', 'Action', 'Thriller']",['Donnell '],"['Lindsey Morgan', 'Jonathan Howard', 'Daniel Bernhardt']"
hunter hunter,['Action'],['Shawn Linden '],"['Devon Sawa', 'Camille Sullivan', 'Nick Stahl']"
